asset_code,source_turbine,started_at,ended_at,duration,source_status,severity,source_code,event_code,message,iec_category,external_event_id
PEN-T01,01,2023-02-02T23:07:26.000Z,,,Informational,info,0,PEN-0,"System OK",Full Performance,01:2023-02-02T23:07:26.000Z:0
PEN-T01,01,2023-02-02T23:07:26.000Z,,,Informational,info,100130,PEN-100130,"Automatic start-up",Full Performance,01:2023-02-02T23:07:26.000Z:100130
PEN-T01,01,2023-02-02T23:09:26.000Z,,,Informational,info,100180,PEN-100180,"Run-up",Technical Standby,01:2023-02-02T23:09:26.000Z:100180
PEN-T01,01,2023-02-02T23:11:09.000Z,,,Informational,info,100190,PEN-100190,"Mains connection",Full Performance,01:2023-02-02T23:11:09.000Z:100190
PEN-T01,01,2023-02-02T23:11:20.000Z,,,Informational,info,100200,PEN-100200,"Mains run-up",Full Performance,01:2023-02-02T23:11:20.000Z:100200
PEN-T01,01,2023-02-02T23:11:50.000Z,,,Informational,info,100210,PEN-100210,"Mains operation",Full Performance,01:2023-02-02T23:11:50.000Z:100210
PEN-T01,01,2023-02-02T23:12:06.000Z,2023-02-02T23:52:06.000Z,00:40:00,Stop,warning,64,PEN-64,"Max. wind speed",Out of Environmental Specification,01:2023-02-02T23:12:06.000Z:64
PEN-T01,01,2023-02-02T23:12:06.000Z,,,Informational,info,100060,PEN-100060,"Brake program 52",Full Performance,01:2023-02-02T23:12:06.000Z:100060
PEN-T01,01,2023-02-02T23:52:06.000Z,,,Informational,info,0,PEN-0,"System OK",Full Performance,01:2023-02-02T23:52:06.000Z:0
PEN-T01,01,2023-02-02T23:52:06.000Z,,,Informational,info,100130,PEN-100130,"Automatic start-up",Full Performance,01:2023-02-02T23:52:06.000Z:100130
PEN-T01,01,2023-02-02T23:54:08.000Z,,,Informational,info,100180,PEN-100180,"Run-up",Technical Standby,01:2023-02-02T23:54:08.000Z:100180
PEN-T01,01,2023-02-02T23:55:05.000Z,2023-02-03T02:40:34.000Z,02:45:29,Stop,warning,64,PEN-64,"Max. wind speed",Out of Environmental Specification,01:2023-02-02T23:55:05.000Z:64
PEN-T01,01,2023-02-02T23:55:05.000Z,,,Informational,info,100060,PEN-100060,"Brake program 52",Full Performance,01:2023-02-02T23:55:05.000Z:100060
PEN-T01,01,2023-02-03T02:40:34.000Z,,,Informational,info,0,PEN-0,"System OK",Full Performance,01:2023-02-03T02:40:34.000Z:0
PEN-T01,01,2023-02-03T02:40:34.000Z,,,Informational,info,100130,PEN-100130,"Automatic start-up",Full Performance,01:2023-02-03T02:40:34.000Z:100130
PEN-T01,01,2023-02-03T02:42:34.000Z,,,Informational,info,100180,PEN-100180,"Run-up",Technical Standby,01:2023-02-03T02:42:34.000Z:100180
PEN-T01,01,2023-02-03T02:43:52.000Z,,,Informational,info,100190,PEN-100190,"Mains connection",Full Performance,01:2023-02-03T02:43:52.000Z:100190
PEN-T01,01,2023-02-03T02:44:03.000Z,,,Informational,info,100200,PEN-100200,"Mains run-up",Full Performance,01:2023-02-03T02:44:03.000Z:100200
PEN-T01,01,2023-02-03T02:44:09.000Z,2023-02-03T02:54:42.000Z,00:10:33,Stop,warning,64,PEN-64,"Max. wind speed",Out of Environmental Specification,01:2023-02-03T02:44:09.000Z:64
PEN-T01,01,2023-02-03T02:44:09.000Z,,,Informational,info,100060,PEN-100060,"Brake program 52",Full Performance,01:2023-02-03T02:44:09.000Z:100060
PEN-T01,01,2023-02-03T02:54:42.000Z,,,Informational,info,0,PEN-0,"System OK",Full Performance,01:2023-02-03T02:54:42.000Z:0
PEN-T01,01,2023-02-03T02:54:42.000Z,,,Informational,info,100130,PEN-100130,"Automatic start-up",Full Performance,01:2023-02-03T02:54:42.000Z:100130
PEN-T01,01,2023-02-03T02:56:42.000Z,,,Informational,info,100180,PEN-100180,"Run-up",Technical Standby,01:2023-02-03T02:56:42.000Z:100180
PEN-T01,01,2023-02-03T02:58:17.000Z,,,Informational,info,100190,PEN-100190,"Mains connection",Full Performance,01:2023-02-03T02:58:17.000Z:100190
PEN-T01,01,2023-02-03T02:58:28.000Z,,,Informational,info,100200,PEN-100200,"Mains run-up",Full Performance,01:2023-02-03T02:58:28.000Z:100200
PEN-T01,01,2023-02-03T02:58:58.000Z,,,Informational,info,100210,PEN-100210,"Mains operation",Full Performance,01:2023-02-03T02:58:58.000Z:100210
PEN-T01,01,2023-02-03T06:32:24.000Z,2023-02-03T06:34:41.000Z,00:02:17,Stop,warning,710,PEN-710,"Battery test",Technical Standby,01:2023-02-03T06:32:24.000Z:710
PEN-T01,01,2023-02-03T06:32:24.000Z,,,Informational,info,100030,PEN-100030,"Brake program 180",Technical Standby,01:2023-02-03T06:32:24.000Z:100030
PEN-T01,01,2023-02-03T06:34:41.000Z,,,Informational,info,0,PEN-0,"System OK",Full Performance,01:2023-02-03T06:34:41.000Z:0
PEN-T01,01,2023-02-03T06:34:41.000Z,,,Informational,info,100110,PEN-100110,"Bypass limit switches",Full Performance,01:2023-02-03T06:34:41.000Z:100110
PEN-T01,01,2023-02-03T06:34:45.000Z,,,Informational,info,100130,PEN-100130,"Automatic start-up",Full Performance,01:2023-02-03T06:34:45.000Z:100130
PEN-T01,01,2023-02-03T06:37:21.000Z,,,Informational,info,100140,PEN-100140,"System test 1",Technical Standby,01:2023-02-03T06:37:21.000Z:100140
PEN-T01,01,2023-02-03T06:37:28.000Z,,,Informational,info,100150,PEN-100150,"System test 2",Technical Standby,01:2023-02-03T06:37:28.000Z:100150
PEN-T01,01,2023-02-03T06:37:43.000Z,,,Informational,info,100160,PEN-100160,"System test 3",Technical Standby,01:2023-02-03T06:37:43.000Z:100160
PEN-T01,01,2023-02-03T06:37:58.000Z,,,Informational,info,100180,PEN-100180,"Run-up",Technical Standby,01:2023-02-03T06:37:58.000Z:100180
PEN-T01,01,2023-02-03T06:39:55.000Z,,,Informational,info,100190,PEN-100190,"Mains connection",Full Performance,01:2023-02-03T06:39:55.000Z:100190
PEN-T01,01,2023-02-03T06:40:06.000Z,,,Informational,info,100200,PEN-100200,"Mains run-up",Full Performance,01:2023-02-03T06:40:06.000Z:100200
PEN-T01,01,2023-02-03T06:40:36.000Z,,,Informational,info,100210,PEN-100210,"Mains operation",Full Performance,01:2023-02-03T06:40:36.000Z:100210
PEN-T01,01,2023-02-03T19:06:10.000Z,2023-02-03T19:06:58.000Z,00:00:48,Informational,info,10,PEN-10,"Wind < start wind",Out of Environmental Specification,01:2023-02-03T19:06:10.000Z:10
PEN-T01,01,2023-02-03T19:06:10.000Z,,,Informational,info,100070,PEN-100070,"Brake program 50",Out of Environmental Specification,01:2023-02-03T19:06:10.000Z:100070
PEN-T01,01,2023-02-03T19:06:58.000Z,,,Informational,info,0,PEN-0,"System OK",Full Performance,01:2023-02-03T19:06:58.000Z:0
PEN-T01,01,2023-02-03T19:06:58.000Z,,,Informational,info,100130,PEN-100130,"Automatic start-up",Full Performance,01:2023-02-03T19:06:58.000Z:100130
PEN-T01,01,2023-02-03T19:13:48.000Z,,,Informational,info,100180,PEN-100180,"Run-up",Technical Standby,01:2023-02-03T19:13:48.000Z:100180
PEN-T01,01,2023-02-03T19:15:00.000Z,,,Informational,info,100190,PEN-100190,"Mains connection",Full Performance,01:2023-02-03T19:15:00.000Z:100190
PEN-T01,01,2023-02-03T19:15:11.000Z,,,Informational,info,100200,PEN-100200,"Mains run-up",Full Performance,01:2023-02-03T19:15:11.000Z:100200
PEN-T01,01,2023-02-03T19:15:41.000Z,,,Informational,info,100210,PEN-100210,"Mains operation",Full Performance,01:2023-02-03T19:15:41.000Z:100210
