# This file was exported by Greenbyte at 2025-08-13 10:49:26. Please see https://www.greenbyte.com for more information about Greenbyte.
#
# Turbine: Penmanshiel 01
# Turbine type: Senvion MM82 (Senvion MM82 kW)
# Time zone: UTC
# Time interval: 2023-02-01 00:00:00 - 2023-03-01 00:00:00 (28 days)
#
# Penmanshiel 01 Sum production: 615691 kWh
#
Timestamp start,Timestamp end,Duration,Status,Code,Message,Comment,Service contract category,IEC category,Global contract category,Custom contract category
2023-02-03 02:58:58,-,-,Informational,100210,Mains operation,,,Full Performance,,
2023-02-03 06:32:24,2023-02-03 06:34:41,00:02:17,Stop,710,Battery test,,Operating states  (28),Technical Standby,13 (Int) Operating States,
2023-02-03 06:32:24,-,-,Informational,100030,Brake program 180,,,Technical Standby,,
2023-02-03 06:34:41,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2023-02-03 06:34:41,-,-,Informational,100110,Bypass limit switches,,,Full Performance,,
2023-02-03 06:34:45,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2023-02-03 06:37:21,-,-,Informational,100140,System test 1,,,Technical Standby,,
2023-02-03 06:37:28,-,-,Informational,100150,System test 2,,,Technical Standby,,
2023-02-03 06:37:43,-,-,Informational,100160,System test 3,,,Technical Standby,,
2023-02-03 06:37:58,-,-,Informational,100180,Run-up,,,Technical Standby,,
2023-02-03 06:39:55,-,-,Informational,100190,Mains connection,,,Full Performance,,
2023-02-03 06:40:06,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2023-02-03 06:40:36,-,-,Informational,100210,Mains operation,,,Full Performance,,
2023-02-03 19:06:10,2023-02-03 19:06:58,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2023-02-03 19:06:10,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2023-02-03 19:06:58,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2023-02-03 19:06:58,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2023-02-03 19:13:48,-,-,Informational,100180,Run-up,,,Technical Standby,,
2023-02-03 19:15:00,-,-,Informational,100190,Mains connection,,,Full Performance,,
2023-02-03 19:15:11,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2023-02-03 19:15:41,-,-,Informational,100210,Mains operation,,,Full Performance,,
2023-02-03 19:46:50,2023-02-03 19:47:38,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2023-02-03 19:46:50,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2023-02-03 19:47:38,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2023-02-03 19:47:38,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2023-02-03 19:52:10,-,-,Informational,100180,Run-up,,,Technical Standby,,
2023-02-03 19:53:49,-,-,Informational,100190,Mains connection,,,Full Performance,,
2023-02-03 19:54:00,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2023-02-03 19:54:30,-,-,Informational,100210,Mains operation,,,Full Performance,,
2023-02-03 19:54:40,2023-02-03 19:55:28,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2023-02-03 19:54:40,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2023-02-03 19:55:28,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2023-02-03 19:55:28,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2023-02-03 20:02:30,-,-,Informational,100180,Run-up,,,Technical Standby,,
2023-02-03 20:04:03,-,-,Informational,100190,Mains connection,,,Full Performance,,
2023-02-03 20:04:15,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2023-02-03 20:04:45,-,-,Informational,100210,Mains operation,,,Full Performance,,
