# This file was exported by Greenbyte at 2025-08-13 10:53:20. Please see https://www.greenbyte.com for more information about Greenbyte.
#
# Turbine: Penmanshiel 02
# Turbine type: Senvion MM82 (Senvion MM82 kW)
# Time zone: UTC
# Time interval: 2023-02-01 00:00:00 - 2023-03-01 00:00:00 (28 days)
#
# Penmanshiel 02 Sum production: 570899 kWh
#
Timestamp start,Timestamp end,Duration,Status,Code,Message,Comment,Service contract category,IEC category,Global contract category,Custom contract category
2023-01-18 16:52:07,2023-02-18 10:11:23,737:19:16,Warning,7016,"Parameter outside limits ",,Warnings (27),,,
2023-01-24 12:43:16,2023-04-16 08:36:51,1963:53:35,Warning,7057,Heating/fan top box faulty,,Warnings (27),,,
2023-02-01 18:32:28,2023-02-01 18:33:16,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2023-02-01 18:32:28,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2023-02-01 18:33:16,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2023-02-01 18:45:04,-,-,Informational,100180,Run-up,,,Technical Standby,,
2023-02-01 18:46:16,-,-,Informational,100190,Mains connection,,,Full Performance,,
2023-02-01 18:46:27,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2023-02-01 18:46:57,-,-,Informational,100210,Mains operation,,,Full Performance,,
2023-02-01 19:06:47,2023-02-01 19:07:35,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2023-02-01 19:06:47,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2023-02-01 19:07:35,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2023-02-01 19:59:05,-,-,Informational,100180,Run-up,,,Technical Standby,,
2023-02-01 20:00:17,-,-,Informational,100190,Mains connection,,,Full Performance,,
2023-02-01 20:00:28,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2023-02-01 20:00:58,-,-,Informational,100210,Mains operation,,,Full Performance,,
2023-02-02 20:50:41,2023-02-02 21:05:53,00:15:12,Stop,64,Max. wind speed,,External stop (low wind speed)  (5),Out of Environmental Specification,10 (Ext) Environmental,
2023-02-02 20:50:41,-,-,Informational,100060,Brake program 52,,,Full Performance,,
2023-02-02 21:05:53,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2023-02-02 21:07:53,-,-,Informational,100180,Run-up,,,Technical Standby,,
2023-02-02 21:09:20,-,-,Informational,100190,Mains connection,,,Full Performance,,
2023-02-02 21:09:31,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2023-02-02 21:10:01,-,-,Informational,100210,Mains operation,,,Full Performance,,
2023-02-02 21:22:03,2023-02-02 21:37:27,00:15:24,Stop,64,Max. wind speed,,External stop (low wind speed)  (5),Out of Environmental Specification,10 (Ext) Environmental,
2023-02-02 21:22:03,-,-,Informational,100060,Brake program 52,,,Full Performance,,
2023-02-02 21:37:27,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2023-02-02 21:39:30,-,-,Informational,100180,Run-up,,,Technical Standby,,
2023-02-02 21:41:08,-,-,Informational,100190,Mains connection,,,Full Performance,,
2023-02-02 21:41:15,2023-02-02 21:51:50,00:10:35,Stop,4520,Tower oscillation X level 1,,Safety stop of WEC (15),Forced outage,10 (Ext) Environmental,
2023-02-02 21:41:15,-,-,Informational,100060,Brake program 52,,,Full Performance,,
2023-02-02 21:51:50,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2023-02-02 21:53:50,-,-,Informational,100180,Run-up,,,Technical Standby,,
2023-02-02 21:55:15,2023-02-03 00:31:26,02:36:11,Stop,4510,Tower oscillation Y level 1,High Winds,Safety stop of WEC (15),Forced outage,10 (Ext) Environmental,
2023-02-02 21:55:15,-,-,Informational,100060,Brake program 52,,,Full Performance,,
2023-02-03 00:31:26,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2023-02-03 00:33:33,-,-,Informational,100180,Run-up,,,Technical Standby,,
2023-02-03 00:34:52,-,-,Informational,100190,Mains connection,,,Full Performance,,
2023-02-03 00:35:02,-,-,Informational,100200,Mains run-up,,,Full Performance,,
2023-02-03 00:35:02,2023-02-03 02:09:45,01:34:43,Stop,4520,Tower oscillation X level 1,High Winds,Safety stop of WEC (15),Forced outage,10 (Ext) Environmental,
2023-02-03 00:35:02,-,-,Informational,100060,Brake program 52,,,Full Performance,,
2023-02-03 02:09:45,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2023-02-03 02:11:45,-,-,Informational,100180,Run-up,,,Technical Standby,,
2023-02-03 02:12:26,2023-02-03 02:33:32,00:21:06,Stop,64,Max. wind speed,,External stop (low wind speed)  (5),Out of Environmental Specification,10 (Ext) Environmental,
